Wall time,Step,Value
1720910714.101894,4062000,57199.78515625
1720911898.265846,4120000,53903.42578125
1720912183.34271,4134000,53446.83984375
1720912203.946047,4135000,53457.69140625
1720912431.944043,4146000,53907.58203125
1720912451.193722,4147000,53892.1484375
1720912490.745153,4149000,53928.1171875
1720912530.539732,4151000,53899.296875
1720912591.098669,4154000,53901.70703125
1720912611.6267672,4155000,53883.109375
1720912652.5110028,4157000,53887.08984375
1720913120.979234,4180000,55089.1875
1720913224.2321632,4185000,56004.8671875
1720913286.166448,4188000,56808.546875
1720913348.5299342,4191000,57442.70703125
1720913450.909377,4196000,57486.0859375
1720913675.403254,4207000,58792.8125
1720913868.228529,4216000,59523.3359375
1720915056.1594272,4211000,58689.8203125
1720915072.555135,4212000,58727.62109375
1720915229.877315,4221000,58150.0703125
1720915333.234831,4227000,58244.828125
1720915611.7067142,4243000,56428.42578125
1720915719.1339672,4249000,56596.02734375
1720915790.689516,4253000,56694.76953125
1720915950.08759,4262000,56574.3828125
1720915985.515109,4264000,56683.6328125
1720916144.463778,4273000,55477.609375
1720916221.385049,4277000,54671.359375
1720916338.58868,4283000,54176.43359375
1720916434.639313,4288000,53020.578125
1720916550.9159942,4294000,53129.5625
1720916725.6994529,4303000,53042.0078125
1720916863.559007,4310000,52379.546875
1720916941.052193,4314000,52974.203125
1720917116.8689542,4323000,53749.60546875
1720917408.978766,4338000,55991.30078125
1720917549.3591092,4345000,55500.05078125
1720917608.305602,4348000,56005.59765625
1720917648.6694798,4350000,56051.3828125
1720917668.1464598,4351000,56088.21875
1720917747.823852,4355000,55265.55078125
1720917767.34731,4356000,55244.515625
1720918140.10656,4375000,59119.86328125
1720918160.412693,4376000,59127.8359375
1720918200.75341,4378000,59779.6796875
1720918319.207545,4384000,57786.9296875
1720918378.365782,4387000,57997.84765625
1720918911.3385239,4414000,58999.890625
1720919028.197858,4420000,58140.30078125
1720919106.1273239,4424000,57508.9140625
1720919164.196345,4427000,57444.03125
1720919318.413727,4435000,58085.40234375
1720919359.033022,4437000,58040.421875
1720919697.496112,4454000,58723.12109375
1720919717.53153,4455000,58713.90234375
1720920101.1401432,4474000,58269.10546875
1720920121.177067,4475000,58221.48828125
1720920180.939852,4478000,58462.921875
1720920323.064647,4485000,58379.375
1720920362.8579981,4487000,58373.57421875
1720920522.977772,4495000,58100.75390625
1720920565.3783228,4497000,58109.1640625
1720920585.183284,4498000,57909.9609375
